Acronym;Description
DHDEVE1P;Parameter for detection failure power stage bank 0
DHFM;Diagnosis. Plausibility test MAF
DHLSHK;Diagnosis. Sensor heating after CAT
DHLSU;Diagnosis. heating LSU
DHR;Diagnostic function. Main relay
DHRLSU;Diag. Heating control LSU
DHRLSUE;Diag. heating stage for systems with Cjxxx diagnostic ES-block
DHYSPUGD;Hysteresis for pressure ratio at throttle blade
DIMC;OBD II Inspection/Maintenance ready
DIMCAGR;Diagnostic code Exhaust gas recirculation system monitor
DIMCHLS;Diagnostic code LS-heating monitoring
DIMCKAT;Diagnostic code CAT monitoring
DIMCLSV;Diagnostic code Oxygen sensor monitoring
DIMCSLS;Diagnostic code Secondary air system monitoring
DIMCTES;Diagnostic code Tank ventilation system
DIPS12_UC;Max. tolarable difference between sensor 1 and 2 in instruction test
DIPS12_UM;Max. tolarable difference between sensor 1 and 2
DITCWE1;Enable condition for DTCWCS
DKATLRS;Diagnosis. Catalytic converter
DKEBANZ;Number of setpoint steps at DV-E ice-breaking
DKLAGERT;Permissible fault time for DK setpoint/actual comparison
DKLAGERTV;Permissible fault time for suspected DK setpoint/actual comparison
DKNOTBEGR;Limtation of set value as f(nmot) if B_dknot = true
DKO2VKMX;Maximum difference of internal and weighted adaption factor
DKPSTGMIN;Min. gradient of the DK poti for conversion abs. to rel. angle in the worst case
DKRA;Diag. Function. Knock control
DKRISNT;Limit of integrator rise for zero test
DKRKSERR;Kncok detection: threshold error detection knock sensor
DKRKSHE;Kncok detection: threshold error healing knock sensor
DKRNT;Diag. knock control zero test (OBD II)
DKRPAR;Threshold for number of errors parity check knock control
DKRS;Diag. Knock sensor (OBD II)
DKRSPI;Threshold for number of errors SPI-check knock control
DKRTP;Diagnostic of knock control (test pulse for OBD II)
DKRUKD;Lower rpm-limit for zero test diagnosis (knock control)
DKUPPL;Diagnostic function. Clutch switch
DKVS;Diagnostic. Plausibility test fuel supply system
DLABTSZW;Delta-lambda for component protection due to ignition retardation compared with
DLAHIGW;Fault threshold for imaginary KL-offset (IUMPR-simulation)
DLAHINI;Initialization value integrator dlahi of continuous LRHK
DLAHIPIMX;Limitation of dalhipi due to mamimum value of LALIUSHK
DLAHIPZFA;Max. threshold for dlahip_w to set cycleflag quickly in case of short trip
DLAHIPZMX;Max. threshold for dlahip_w to set cycleflag very fast
DLAHKDDMN;Lower threshold to detect d/dt
DLAHSWI;Threshold to switch to higher integration speed if predicted I part of lambda co
DLAHSWILM;Threshold for switch to quick offset adaptation in case of controller saturation
DLAMELSH;Delta lambda setpoint for electrical sensor diagnosis downstr. catal. (quicktrip
DLAMFAW;Threshold value for activation of mixture enrichment by driver command
DLAMLASHF;Delta Lambda set point (rich) for the test oscillation check downstream
DLAMLASHM;Delta Lambda set point (lean) for the test oscillation check downstream
DLAMNSWL;Max. deviation for lamnswl_w=1.0
DLAMSBST;Threshold for lambda difference sine last trimming
DLAMSTE;Delta lambda threshold for detection of trimmed state
DLAMXSA;Max. control error for CLC switch-off after fuel cut-off
DLASHKIMW;Modeled delta-lambda disturbance for time model of the offset check
DLATRMN;Minimum limit exhaust temperature controller
DLATRMODEM;Initial value of dlatrmo_w due to demo iusses
DLATRMOMN;Upper threshold for dlatrmo to switch over to B_nppllsu
DLATRMOMX;Lower threshold for dlatrmo to switch over to B_nppllsu
DLBTS;Delta lambda target for component protection
DLBTSGANG;Delta Lambda component protection, gear dependent
DLBTSTUMG;Delta Lambda component protection, ambient temperature dependent
DLDP;OBD II Tank ventilation diagnostic function. module
DLDPE;Final stage diagnostic. pressure pump of tank diagnostic
DLDR;LDR Diagnostic
DLDRALDRAO;Upper limit for low pass filtered boost control deviation
DLDRALDRAU;Lower threshold for healing of E_ldra through dldra_w
DLDUV;Diagnostic. Diverter valve for turbo engine
DLFCOAFN;Maximum allowed rate of range in the decreas. direct. for the Fan_command
DLFCOAFP;Maximum allowed rate of range in the increas. direct. for the Fan_command
DLIMXDNS;Offset for upper integrator limit for active air condition
DLLR;Diagnostic. Idle speed control. recognition of blocked actuator
DLRDWDKSS1;DLR, upper limit for the parameter switch-over
DLRDWDKSS2;DLR, lower limit for the parameter switch-over
DLRHAFTMN;Min. necessary I component in case of static friction
DLRHAFTST;Max. setpoint gradient to activate the static friction routine
DLRIAMAXA;Maximum permissible I-component
DLRIKLPAR;DLR, I small parameter
DLRININI;I-component during init for ramp passing through NLP
DLRKDNNLP0;DLR, D parameter near NLP
DLRKDONLP0;DLR, D parameter above NLP
DLRKDUNLP0;DLR, D parameter below NLP (weak)
DLRKDUNLP1;DLR, D parameter below NLP (medium)
DLRKDUNLP2;DLR, D parameter below NLP (strong)
DLRKDUNLP3;DLR, D parameter below NLP (if non amplified Poti is used)
DLRKPNNLP0;DLR, P parameter near NLP
DLRKPONLP0;DLR, P parameter above NLP
DLRKPUNLP0;DLR, P parameter below NLP (weak)
DLRKPUNLP1;DLR, P parameter below NLP (medium)
DLRKPUNLP2;DLR, P parameter below NLP (strong)
DLRKPUNLP3;DLR, P parameter below NLP (if non amplified Poti is used)
DLRKREIS;DLR, factor loop gain
DLRKREISST;DLR, factor loop gain at the time of the engine start
DLRNLPD;Fuzzy range of DK in limphome air position
DLRNLPDWDK;Actual to desired position difference for activation of special PID around nlp
DLRNLPPID;Distance to nlp for activation of PID around nlp
DLRPID0T;Timecounter for extended DV-E-exchange detection
DLRPID1T;Permissible fault time 1 for DLR setting range at the limit stop
DLRPID2T;Permissible fault time 2 for DLR setting range at the limit stop
DLRPID3T;Permissible fault time 3 for DLR setting range at the limit stop
DLRPIDMAX;Max. permissible PWM pulse duty factor for DLR
DLRPIDMIN;Min. permissible PWM pulse duty factor for DLR
DLRPIDSTMN;Min. threshold for PWM pulse duty factor of the DLR with temp. UMA adapt.
DLRUBSOLL;DLR, battery standard voltage
DLRUMABAND;Range of uncertainty during the step change out of the UMA range
DLRUMAIINI;Default value of the I component during the step change out of the UMA range
DLSAHK;Ageing monitoring for Lambda sensor downstream of CAT
DLSH;Diagnostic. Readiness for operation of CAT downstream sensor
DLSHV;Diagnosis detection exchanged Lambda probe behind catalytic converter
DLSSA;Signal ouput from lambda sensors
DLSU;Diagnostic. Continuous Lambda probe LSU
DLSUV;Recognition exchanged oxygen sensors before catalytic converter
DLUL;Delta-load for overload protection-reset
DLURMIN;Speed dependensy of engine roughness referenz minimum value 1
DLYABM;Delay cut off mask
DLYHEAL;Delay healing cycle
DLZWBTS;ZW hysteresis for component protection
DMADFK;Maximum adaptable change of resistant torque during one idle cycle AT-drvie + AC
DMADFS;Maximum adaptable change of resistant torque during one idle cycle AT in drive
DMADKO;Maximum adaptable change of resistant torque during one idle cycle compressor on
DMADLL;Maximum adaptable change of resistant torque during one idle cycle loadless
DMADMNFK;Lower limit for torque adaptation At in drive + AC compressor on
DMADMNFS;Lower limit for torque adaptation At in drive
DMADMNKO;Lower limit for torque adaptation AC compressor on
DMADMNLL;Lower limit for torque adaptation loadless
DMADMNSFK;Lower limit for torque adaptation At in drive + AC compressor on
DMADMNSFS;Lower limit for torque adaptation At in drive for SCH
DMADMNSKO;Absolute minimum of adapted torque at stratified mode with active AC-compressor
DMADMNSLL;Absolute minimum of adapted torque at stratified mode
DMADMXFK;Upper limit for torque adaptation AT in drive + AC compressor on
DMADMXFS;Upper limit for torque adaptation AT in drive
DMADMXKO;Upper limit for torque adaptation AC compresssor on
DMADMXLL;Upper limit for torque adaptation loadless
DMADMXSFK;Upper limit for torque adaptation AT in drive + AC compressor on
DMADMXSFS;Upper limit for torque adaptation AT in drive for SCH
DMADMXSKO;Absolute maximum of adapted torque at stratified mode with active AC-compressor
DMADMXSLL;Absolute maximum of adapted torque at stratified mode
DMADSFK;Maximum adaptable change of resistant torque during one idle cycle AT-drvie + AC
DMADSFS;Maximum adaptable change of resistant torque during one idle cycle AT in drive
DMADSKO;Limitation difference of adapted torque at stratified mode with active AC-compr.
DMADSLL;Limitation difference of adapted torque at stratified mode
DMAKRLA;Correction for starting measuring window depending on lambda
DMARMX;Max. limit. of the steady-state torque intervention of the anti-jerking funct.
DMAUFN;Delta torque rise after torque intervention
DMDBGREXS;Deficient torque reserve for softening of the limiting torque in case of exclus
DMDDLU;Diagnostic routine misfire detection forming the difference for rough running
DMDFON;Diagnosis misfire detection fuel-on adaptation
DMDGENAB;Decrement of temperature factor generator torque
DMDLU;Diagnose misfire detection. rough running
DMDLUA;Diagnostic routine. misfire detection rough running spacing/distance measurements
DMDLU_C;Diagnostic routine. misfire detection
DMDMIL;Error handling of misfire detection triggering the MIL and rectification
DMDNSM;Torque offset for after cranking compensation
DMDPOZ;Threshold f. switch-over to filtered torque prior to dashpot release
DMDPUG;Delta torque threshold end of dashpot
DMDRKO;Torque reserve for AC compressor
DMDSEGL;Segment length for misfire detection
DMDSEGLKH;Segment length for misfire detection at catalyst heating
DMDSTP;Diagnosis. Misfire detection. stop conditions
DMDTSB;Diagnosis. misfire detection. segment time education
DMDWHYS;Hysteresis for forming D-component converter torque
DMDWM;D-component converter torque when engaging gear selection
DMFB;OBD II MIL externally determined
DMGN;Limitation of alternator-torque for safety
DMIAB;Delta torque for abrupt termination of an operating mode
DMIBMNUM;Delta mibmn_w for operation mode switching
DMIBMXUM;Delta mibmx_w for operation mode switching
DMIFABEB;Delta torque for activation of limitation of torque change
DMIFLSD;Delta torque for initialization of filter load-shock damping
DMIHY;Delta torque as hysteresis for release of an operating mode
DMIL;OBD II MIL Control
DMIMNUHOM;Delta minimum torque for switching to homogeneous mode
DMIMXUHSP;Delta fpr maximum torque in new operating mode HSP
DMIOWLSD;Delta torque for initi. of load reversal damping at open converter lockup clutch
DMISMEUS;Permitted decrease of indicated torque while B_mismeus is set
DMIZWMN;Offset to indicated engine torque for most retarded ign.timing and ASR intervent
DMKO;Limitation of AC-torque for safety
DMLFS;Limitation of fan-torque for safety
DMLKTDMX;Maximum of air mass change at catalyst diagnosis
DMLLNGEZ;LLR: D-gain depending of ngasf for air path
DMLLNGEZV;LLR: D-gain depending of ngasf for air path
DMLLRLMNF;Lower limit for dmllrl
DMLLRLMXF;Safety concept: upper limit for dmllrl
DMLLRLMXN;Safety concept: upper limit for dmllrl
DMLLRMXN;Safety concept: upper limit for dmllr
DMLLRMXNK;Safety concept: upper limit for dmllr
DMLSDUG;Delta torque for finishing positive slope limitation
DMNTMRW;Min. temperature difference between tmotlinst and tmotlin for diagnosis
DMRAA;General torque margin quick trip
DMRDNW;Torque reserve for diagnosis of camshaft via tester
DMRESLL;LLR: reduction rate for increased torque reserve
DMRESTM;Increment to reduce the torque reserve after start-up
DMRFAWEN;Threshold mrfa gradient f. deactivation of PT1 filter at resumre
DMRKHMNSWO;Dmrkh threshold for switching back to KAMFZ and DMDSEGL
DMRKTDT;Torque reserve for catalyst diagnosis, functional test
DMRLASH;Torque reserve for diagnosis monitoring ageing lambdasensor downstream Kat
DMRLSH;Torque reserve for diagnosis lambdasensor downstream cat
DMRLSV;Torque reserve for diagnosis lambdasensor upstream Kat
DMSERVL;Limitation of power-steering pump torque for safety
DMSLP;Limitation of secondary-air pump torque for safety
DMSNSTLD;Minimum deviation of CPV mass flow for tank leakage diagnosis
DMSNTEVMN;Minimum PCV differential mass flow for incremental check of tank pressure sensor
DMSTES;Characteristic line maximum increase of purge mass flow
DMVERLMN;Minimum torque-loss threshold
DMXRDL;Variation limit for max. reduction of engine roughness reference value dlur
DMXRFL;Limitation for max. reduction of the filter engine roughness reference values
DN10BURN;Minimum engine-speed difference for acckn. combustion
DNABW;Engine speed difference at engine stall
DNBURN0;Minimum difference in engine-speed for detection combustion in range 0
DNBURN1;Minimum difference in engine-speed for detection combustion in range 1
DNBURN2;Minimum difference in engine-speed for detected combustion in range 2
DNDASH;Threshold of engine speed difference for dash detection
DNDLLRO;Maximal speed deviation (low speed) for diagnosis of idle speed control
DNDLLROKH;Maximal speed deviation (low speed) for diagnosis of idle speed control during c
DNDLLRU;Maximal speed deviation (high speed) for diagnosis of idle speed control
DNDLLRUKH;Maximal speed deviation (high speed) for diagnosis of idle speed control during
DNFANMN;Minumum value: fan speed gradient
DNFANMX;Maximum value: fan speed gradient
DNFANWA;Speed threshold hysteresis for function request flank adaption of camshaft
DNFILO;Upper threshold of filter output gradient ndfil
DNKOGH;Eng. speed offset f. compress. sw.off. at high eng.speeds when B_fs = 1
DNKOGHO;Eng. speed offset f. compress. sw.off. at high eng.speeds when B_fs = 1
DNKOLS;Eng. speed offset f. freeze of compr. state at low eng.speeds
DNKONHO;Eng. speed offset f. compr. sw.off at high eng.speeds when B_fs=0
DNLLR;Engine speed range above nstat to enable the ISC
DNLLRESW;LLR: dn threshold for increasing the torque reserve at idle
DNLLRIST;Overspeed threshold for integrator reset
DNLLRLR;Engine speed range above nstat to enable the ISC (Low-Range)
DNLLSNW;Delta desired low idle speed for the acitv. of the NW-functionality
DNLLST;Speed threshold to disable proportional parameter in start
DNMAB;Delta engine speed for abrupt termination of an operating mode
DNMAX;Permissible reduction of engine speed limit per calculation step
DNMAXH;Exceeding of the engine speed limit leading to fuel cut-off in all cylinders
DNMAXK;Exceeding of the engine speed limit leading to fuel cut-off with no air path lim
DNMHY;Delta engine speed as hysteresis for release of an operating mode
DNMNI;Lowest possible value for dn for the I-controller
DNNLBUE;"Delta to idle speed - used to predict idle phase"
DNNSNF;Threshold for dns to deactivate speed tracking
DNSAH;Delta n overrun cut-off high with reference to n reinstatement
DNSAL;Delta n overrun cut-off low with reference to n reinstatement
DNSALH;Delta n overrun cut-off high with reference to n reinstatement at idle
DNSIAB;Deviation of maximum and actual engine speed for switch-off rpm control
DNSIOZW;Delta engine speed without ignition angle intervention
DNSLL;Overrun cut-off hysteresis for reinstatement at idle
DNSLLK;Overrun cut-off hysteresis for reinstatement at idle and disengaged clutch
DNSNFST;Speed threashold of nsol-limitation in start
DNSNFX;Offset to determine the upper limit of target speed
DNTIPDYN;Turn on limit for Tip-In offset on max. spark retard
DNVSA;Cut off engine speed increase at low vehicle speed
DNWEK;Delta n for reinstatement with air conditioning
DNWEOFF;Engine speed offset to nstat for nwe
DNWKW;Diag. Alignment between camshaft and crankshaft
DNWSAUS;Diagnosis camshaft control (outlet side)
DNWSEAUS;Diagnosis cam control (outlet side) final stage
DNWSEEIN;Diagnosis of the camshafts stage (inlet side)
DNWSEIN;Diagnosis. Cam timing (inlet side)
DNWVSMN;Delta camshaft adjustment centroid minimum
DNZWMN;Offset on nstat for switching off Tip-In offset
DORAESTAB;Delta-ORA for setting of ORA-stable when diagnosis-threshold is reached
DORASTAB;Delta-ORA for setting of ORA stable
DOSCUPDMN;Minimal difference of OSC reference values for enabling correction factor update
DOXSG;Maximal difference of stored oxygen from integrator limit to set B_oscmeb
DPBKVBBG;Factor pressure gradient at begin of braking
DPBKVBSGV0;Factor pressure gradient while braking (v=0)
DPBKVBSGVS;Factor pressure gradient while braking (v>threshold)
DPBKVEBG;Factor pressure gradient at end of braking
DPBKVEBGVS;Factor pressure gradient at end of braking (vfzg>threshold)
DPBKVEVK;Factor pressure gradient while evacuating brake booster
DPBKVEVKEP;Factor pressure gradient while evacuating brake booster from el. pump
DPBKVK;Difference pressure of break booster constant
DPBKVLE;Legal pressure increase because of leakage
DPBKVPMN;Tolerance of pubkv_w*FBKVP(min. pump pressure) and tolerance of pressure sensor
DPBKVPPBKV;Pressure difference, which can be evacuated in time TDDBKVP
DPBKVRPD;Pressure delta for reset of brake booster vacuum pump diagnosis
DPBKVSPS;Delta pressure betw. desired brake booster pressure and manifold pressure
DPBKVSTG;Factor pressure gradient caused by leakage of brake booster
DPBKVUKKPU;Min. allowed difference between pbkv and pu for turn off compressor
DPBKVUKNKH;Min. allowed dif. bet. pbkv and pu for cut of idle speed for catalyst heating
DPBKVUKNW;Min. allowed difference between pbkv and pu for camshaft lobe control
DPBKVUKP;Min. allowed difference between pbkv and pu for control of break booster pump
DPBKVUKPU;Min. allowed difference between pbkv and pu without braking
DPBKVUS;Desired delta between brake booster and ambient pressure
DPBPSMSISR;Difference bt. BB- and M-pressure for calculation of massflow from BB into M
DPBRINTTN;Minimum delta pbrint due to model tolerances
DPBRINTTX;Maximum delta pbrint due to model tolerances
DPDELTA;Pressure changing for detection of responding tank pressure sensor
DPDSTNPW;Minimum tank pressure difference for plausibility error detection (Word)
DPDTED;Pressure difference for check of tank pressure minimum
DPEDWOT;Hysteresis for PEDWOT
DPERF;Distance for performace launch
DPH;Diag. Plausibility test phase sensor
DPHDP;Pressure loss caused by HDP
DPHFLFR1;Maximum deviation of the phase edge from PG1 to advance
DPHFLFR2;Maximum deviation of the phase edge from PG2 to advance
DPHFLSP1;Maximum deviation of the phase edge from PG1 to retard
DPHFLSP2;Maximum deviation of the phase edge from PG2 to retard
DPKOND;Pressure difference for abort of diagnosis at fuel condensation
DPLFMX;Max pressure loss at air filter for diagnosis of pressure upstream throttle
DPLINMX;Threshold for Change of Pressure deviation for linearisation check for tank leak
DPLLKMS;Drop in pressure at intercooler depending on air mass flow
DPLMDK;Perm. pressure delta between dpsfg and dpsfdhf_w (via throttle valve tolerances)
DPLMDSFE;Delta pslm-psdss threshold for detection fkfupsrl steady state
DPLMDSOEOT;Delta pslm-psdss threshold for detection ofpbrint steady state
DPLMDSTZF;Difference modelled to measured manifold pressure death zone factor
DPLMDSTZO;Difference modelled to measured manifold pressure death zone offset
DPNMXOZW;P-rate without ignition angle intervention
DPRFLT;Maximal rail pressure drop to consider the rail pressure as stable
DPRHLSU;Change in relative heater output per time during warm up phase
DPRSTTSW;"Difference of start pressure vs. measured value - threshold"
DPRSTTSWH;"Difference of start pressure vs. measured value - threshold-hysteresis"
DPSBKV;Delta pressure of plaus. of brake booster pres. with intake manifold pressure
DPSPBKVNPH;Min. pressure difference between ps and pbkv for healing npl-error(leakage)
DPSRM;Tolerance band in which healing can take place
DPSRMFA;Tolerance band in which healing can take place (function demand)
DPSRPSINI;Delta Intakemanifold pressure to ambient pressure during start
DPSRSVMN;Lower limit for signal-variation-check
DPSSPBKVPB;Delta between manifold pressure and brake booster pressure
DPSXSPS;Delta between psxs_w and psdss_w for release of ps-controller
DPTEBO;Upper threshold for start of diagnose
DPTEBU;Lower threshold for start of diagnose
DPTEDPU;Positive pressure threshold for refuelling detection
DPTEDSCH;Pressure difference during PCV-shot
DPTEDTD;Threshold for band pass filtered pressure for detection of opened filler cap
DPTEDTK;Threshold for band pass filtered pressure for refuelling detection
DPTEDUD;Lowest threshold allowed prior to testing
DPTEKD;Error threshold value for check of tank pressure sensor for drift
DPTLDDU;Threshold for detection that pressure obtain target pressure
DPTPSRMX;Max tolerances of manifold pressure sensor
DPTPUMX;Max tolerances of ambient pressure sensor
DPTPVDMN;Lower tolerance limit of pressure upstream of throttle
DPTPVDMX;Upper tolerance limit of pressure upstream of throttle
DPUAPP;Offset on ambient pressure for the exhaust backpressure model
DPUBKV;Delta pressure of plaus. of brake booster pressure with ambient pressure
DPUE;Deltasubstitute value - ambient pressure in case of sensor failure
DPULFZMX;Upper limit for comparison of ambient pressure from last-/actual driving cycle
DPULSUV;Hysteresis f. puslation thresh. over.recirc.valve diag. f. turbot
DPUMDS;Offset: ambient pressure for torque loss calculation
DPUPSINIMX;Tolerances between psini_w and ambient pressure
DPUPUTTMX;Upper limit for continuous check
DPUPVDMN;Min pressure after air filter
DPUPVDTX;Delta modelled pressure upstream throtthle from ambient pressure and measured pr
DPVDGRUD;Delta on base boost pressure for calibratin tolerances of the boost pressure act
DPVDPU;Difference between basic boost pressure and ambient pressure
DPVDPUMN;Difference tolerance ambient pressure modell by boost pressure minimal
DPVDPUMX;Difference tolerance ambient pressure modell by boost pressure maximal
DPVDSBAS;Difference between the actual desired boost pressure and the preceeding desired
DPVDXPLGMN;Minimum difference (max. boost pressure - base boost pressure)
DPVFZMX;Maximum allowable gradient of impulse duration of hardware signal
DPVLLKMN;Pulsation threshold (min) for dump valve diagnosis (pressure based)
DPVLLKMX;Pulsation threshold (max) for dump valve diagnosis (pressure based)
DRISIGH;Diagnosis threshold for Ri sensor for signal disconnection post cat
DRLASMN;Min. threshold of DRLAS for LSU offset determination
DRLFRMNTST;Min. delta between rlsol and rl for inclusion in charge controller calculation
DRLFRMXTST;Max. delta between rlsol and rl for inclusion in charge controller calculation
DRLHSPKH;Switch off delay for minimum air charge for hom.split injection for cat
DRLHY;Delta air charge as hysteresis for release of an operating mode
DRLLRHKO;Positive delta-rl threshold for deactivating I part
DRLLRHKU;Negative delta-rl threshold for deactivating I part
DRLMINBG;Hysteresis for condition minimal achievable torque
DRLMINDP;Offset to rlmin for deactivation of dashpot
DRLMXW;Threshold for load change (16Bit)
DRLRLPMAX;Limit for steady delta of rl and rlp from monitoring
DRLRLPMAXW;Replacement value for steady delta of rl and rlp
DRLRLPU;Delta rl for rlp - lower limit
DRLSOLA;Misfire Detection : load-dynamic threshold for deactivation
DRLSOLMF;Threshold delta rlsol for Medianfilter
DRLSOLST;Misfire Detection : load-dynamic threshold for deactivation after engine start
DRLSOLSTAT;Delta-rl-rlsol to recognize steady state condition
DRLSSCHMF;Threshold delta rlsol for Medianfilter
DRLSTAT;Delta-rl to recognize steady state condition
DRMLKTDMX;Maximum of relative air mass change at catalyst diagnosis
DSACGRAD;Gradient for AC pressure sensor
DSACOFS;Offset for AC pressure sensor
DSBGRAD;Gradient for brake booster pressure sensor
DSBOFS;Offset for brake booster pressure sensor
DSDLUTSIMN;Min-limit integrator delta standard deviation engine roughness
DSDLUTSIMX;Max-limit integrator delta standard deviation engine roughness
DSKVTABST;Delay time to recognize cold soak
DSLSLRS;Diag. Secondary air system with constant lambda control
DSMINCBA;Increment of dynamic priority if function can run in current GDI-Mode
DSMINCRE;Increment of dynamic priority if E-Flag set
DSMINCRZ;Increment of dynamic priority if Z-Flag missing
DSMINCRZOL;Increment of dynamic priority if Z-Flag missing during last DCY
DSSGRAD;Gradient for manifold pressure sensor
DSSOFS;Offset for manifold pressure sensor
DSTEMIN;Minimum value for transportation distance in delay-time block
DSTGRAD;Gradient for conversion voltage -> pressure of tank pressure sensor
DSTOFFS;Offset for conversion voltage -> pressure of tank pressure sensor
DSUGRAD;Gradient for ambient air pressure sensor
DSUOFS;Offset for ambient air pressure sensor
DSVDGRAD;Gradient for pressure sensor upstream throttle valve
DSVDOFS;Offset for pressure sensor upstream throttle valve
DSWEC;Bad drive from wheel-Accel via CAN ABS SG to Motronic
DSWES;Rough road detection by means of statistics of the engine uneven running
DTAFKPVDKE;Delta delay time for condition adaption fkpvdk not in steady-state
DTAHLL;Delta tans for stopping hot idling
DTAIKRBTS;Hysteresis for activation of component protection during ignition angle retard depending on the temperature in the exhaust manifold
DTANKL;OBDII diagnostic errors due to an empty tank
DTAOMSNDKE;Delay delta for condition adaptation of ofmsndk no longer steady
DTAVDKMX;Maximum tolerance of the intake air at the throttle valve
DTAVVKST;Threshold for temperature difference since last trimming
DTBTS;Exhaust temperature hysteresis for component protection
DTCWCSE;Error counter for DTCWCS
DTCWT4;Time-delay for detection hot-condition
DTDEMOP;Debounce time for deactivation of EMOP
DTDTHM;Delta debouncing time for healing of an engine coolant thermostat error
DTDUPWG;Calculation step width for calculating difference of pedal output voltage
DTEEMOP;Debounce time for activation of EMOP
DTEV;Diag. Canister purge valve (OBD II)
DTEVAPKOAU;Delta-Antifreeze temperature for A/C compressor switch off
DTFA1MNCS;Error-threshold min-error of tfa1-sensor (coldstart)
DTFA1MXCS;Error-threshold min-error of tfa1-sensor (coldstart)
DTFA1STC;Stuck-check TFA1: threshold for healing
DTFA2MNCS;Error-threshold min-error of tfa2-sensor (coldstart)
DTFA2MXCS;Error-threshold min-error of tfa2-sensor (coldstart)
DTHKBTSZA;Clearance to temperature-threshold for cylinder-individual fuel cut-off, main ca
DTHM;Thermostat diagnosis engine coolant
DTHMD;Safety offset of engine temperature to thermostat model-temperature
DTKKTDKH;Delta temperature of catalyst without catalyst heating/long idle time
DTKKTDMNE;Delta temperature of catalyst for minimum threshold in error case
DTKKTDMX;Maximum of temperature change at catalyst diagnosis
DTKKTDMXE;Delta temperature of catalyst for maximum threshold in error case
DTKLSUSTA;Allowed temperature deviation from set value for heater status A
DTKLSUSTB;Allowed temperature deviation from set value for heater status B
DTLRTML;Proportion factor to decrease waiting time up to tmot-threshold for closed loop
DTMABDTMN;Min. difference of engine stall and restart temp. for TMOT diagnosis
DTMABKH;Temperature difference of engine stall and restart for activating cat. heating
DTMABSDTA;Thresh. delta engine coolant temperature from stalling to start for TANS-monitor
DTMDMA;Start offset for engine temperature model
DTMDNPO;Offset on engine temperature model to upper threshold for non-plausibility
DTMHLL;Delat tmot for stopping hot idling
DTMHS;Tmotlin offset (safety factor for TMOT diagnosis / Max. plaus. temp.)
DTMKOAO;Offset of upper temperature threshold for compressor switch-off
DTMKOAU;Offset of lower temp. thresh. for compressor switch-off
DTMSRT;Difference of engine cool.temp.to starttemp.for retriggering models (blockheater
DTMWUC;Delta engine temperture threshold for fulfilment warm up cycle
DTOLHL1;Hysteresis of oil temp. threshold 1 for condition B_hll1
DTOLHL2;Hysteresis of oil temp. threshold 2 for condition B_hll2
DTTCWCSFI;Temperature deviation physical check in DTCWCS, fast init
DTTCWE5;Enable-condition in DTCWCS
DTTCWE6;Enable-condition in DTCWCS
DTTCWE8;Enable-condition in DTCWCS
DTTCWE12;Tmot-threshold: E_TMCS enabling in PostDrive
DTTCWE14;Maximum-threshold for engine coolant temperature for enabling diagnosis
DTTCWE15;Tabst-threshold for enabling diagnosis
DTUPWGNEG;Calculation step width for calculating difference of pedal output voltage neg. d
DTVKBTSZA;Clearance to temperature-threshold for cylinder-individual fuel cut-off, front c
DUDECMX;Threshold maximal decrease of post-cat voltage for detection of empty catalyst
DUDKNLPO;Tolerance range for NLP upward (incl. Rü)
DUDKNLPU;Tolerance range for NLP downward
DUDKPTMP;Delta of a ramp-step during the temp. UMA adaptation
DUF;Diagn. of functional monitoring
DUF_T;Time for setting the cycle flags of function monitoring diagnosis
DUPW12;Permissible voltage deviation between PWG potentiometer 1 and 2
DUPW12KD;Max. adm. diff. in poti voltages of acc. pedal sensor during kick-down learning
DUPW12TG;Permitted voltage deviation between PWG poti 1 and 2 during part. throttle range
DUPW12VG;Permissible volt. deviation between PWG potentiometer 1 and 2 in full gas range
DUPWGHY;Voltage hysteresis for dejittering the PWG voltage
DUPWGLKD;Max. adm. change in poti voltages of acc. pedal sensor during kick-down memo
DUPWGNEG;Threshold to recognise a switching back of the idle position to default
DUPWGPHP;Threshold for detection that pedal movement is plausible
DUPWGRU;Threshold for detection that pedal doesn't move
DUPWKDLB;Minimum excess over the memorized kick-down value for KD learning during oper.
DUPWKDO;Diff. voltage of accelerator pedal sensor for setting the kick-down information
DUPWKDU;Diff. voltage of accelerator pedal sensor for resetting the kick-down info.
DURINLSU;Maximum permitted change in voltage for calculation of rinlsu_w
DURISMN;Increase of post-cat voltage required for the detection of an empty catalyst
DURNPRST_A;Threshold for storing fault type B_npurrst in diagnosis controller monitoring re
DUSHKHZK;Threshold for delta sensor voltage to check heater coupling downstr. cat
DUSRIH;Delta sensor volt. downstream cat betw. new and old value for Ri-measur.
DUSSPH;Delta sensor volt. rear cat between new and 2 old val. for sensor jump knowledge
DUTYPUTST;PWM frequency for test pulse generation for MSV output stage diagnosis
DVAQUGMX;Max. permitted velocity difference during aquaplaning and high speed
DVAQUKMX;Max. permitted velocity difference during aquaplaning and low speed
DVEEST;Time for the healing attempt of the DV-E-power stage
DVFZ;Diagnostic plausibility check. vehicle speed
DVFZAR;Hysteresis for vehicle speed limit during AR (Anti jerk)
DVFZBEG;Delta speed for change limitation
DVFZLFMN;Hysteresis for VFZLFMN
DVIVZMX;Max. permitted deviation between actual speed and target speed in cruising mode
